Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2020;dezembro;Clinte 50;R$ 239;53;FRACIONADO
2021;janeiro;Clinte 50;R$ 202;14;FRACIONADO
2021;fevereiro;Clinte 50;R$ 104;22;FRACIONADO
2021;março;Clinte 50;R$ 90;15;FRACIONADO
2020;maio;Clinte 51;R$ 472;244;FRACIONADO
2020;junho;Clinte 51;R$ 366;260;FRACIONADO
2020;agosto;Clinte 51;R$ 133;17;FRACIONADO
2020;setembro;Clinte 51;R$ 130;20;FRACIONADO
2020;outubro;Clinte 51;R$ 121;19;FRACIONADO
2020;novembro;Clinte 51;R$ 162;64;FRACIONADO
2021;janeiro;Clinte 51;R$ 105;10;FRACIONADO
2021;fevereiro;Clinte 51;R$ 110;20;FRACIONADO
2021;março;Clinte 51;R$ 127;3;FRACIONADO
2020;maio;Clinte 52;R$ 178;48;FRACIONADO
2020;fevereiro;Clinte 53;R$ 240;50;FRACIONADO
2020;outubro;Clinte 53;R$ 57;20;FRACIONADO
2020;dezembro;Clinte 53;R$ 531;150;FRACIONADO
2020;janeiro;Clinte 54;R$ 492;128;FRACIONADO
2020;fevereiro;Clinte 54;R$ 306;186;FRACIONADO
2020;março;Clinte 54;R$ 103;13;FRACIONADO
2020;abril;Clinte 54;R$ 343;155;FRACIONADO
2020;maio;Clinte 54;R$ 194;87;FRACIONADO
2020;junho;Clinte 54;R$ 277;67;FRACIONADO
2020;julho;Clinte 54;R$ 280;112;FRACIONADO
2020;agosto;Clinte 54;R$ 586;175;FRACIONADO
2020;setembro;Clinte 54;R$ 376;125;FRACIONADO
2020;outubro;Clinte 54;R$ 668;243;FRACIONADO
2020;novembro;Clinte 54;R$ 231;55;FRACIONADO
2020;dezembro;Clinte 54;R$ 587;320;FRACIONADO
2021;janeiro;Clinte 54;R$ 783;219;FRACIONADO
2021;fevereiro;Clinte 54;R$ 433;110;FRACIONADO
2021;março;Clinte 54;R$ 525;152;FRACIONADO
2020;março;Clinte 55;R$ 95;8;FRACIONADO
2021;fevereiro;Clinte 56;R$ 91;5;FRACIONADO
2020;agosto;Clinte 57;R$ 43;28;FRACIONADO
2020;janeiro;Clinte 58;R$ 1.474;2699;FRACIONADO
2020;fevereiro;Clinte 58;R$ 1.648;3232;FRACIONADO
2020;março;Clinte 58;R$ 245;417;FRACIONADO
2020;abril;Clinte 58;R$ 537;1149;FRACIONADO
2020;maio;Clinte 58;R$ 1.690;3326;FRACIONADO
2020;junho;Clinte 58;R$ 1.041;1969;FRACIONADO
2020;julho;Clinte 58;R$ 1.561;3270;FRACIONADO
2020;agosto;Clinte 58;R$ 1.477;2996;FRACIONADO
2020;setembro;Clinte 58;R$ 1.706;3391;FRACIONADO
2020;outubro;Clinte 58;R$ 3.868;7424;FRACIONADO
2020;novembro;Clinte 58;R$ 1.632;2853;FRACIONADO
2021;janeiro;Clinte 58;R$ 562;1019;FRACIONADO
2021;fevereiro;Clinte 58;R$ 3.157;6101;FRACIONADO
2021;março;Clinte 58;R$ 2.659;5467;FRACIONADO
2020;abril;Clinte 59;R$ 32;9;FRACIONADO
2020;janeiro;Clinte 60;R$ 71;164;FRACIONADO
2020;março;Clinte 61;R$ 68;90;FRACIONADO
2020;abril;Clinte 62;R$ 55;5;FRACIONADO
2020;julho;Clinte 62;R$ 117;36;FRACIONADO
2020;agosto;Clinte 62;R$ 48;10;FRACIONADO
2020;outubro;Clinte 62;R$ 52;10;FRACIONADO
2020;dezembro;Clinte 62;R$ 62;5;FRACIONADO
2020;janeiro;Clinte 63;R$ 3.780;7207;FRACIONADO
2020;fevereiro;Clinte 63;R$ 3.600;6313;FRACIONADO
2020;março;Clinte 63;R$ 2.746;5435;FRACIONADO
2020;abril;Clinte 63;R$ 749;1291;FRACIONADO
2020;setembro;Clinte 63;R$ 10.551;17395;FRACIONADO
2020;outubro;Clinte 63;R$ 6.663;10291;FRACIONADO
2020;novembro;Clinte 63;R$ 156;271;FRACIONADO
2020;janeiro;Clinte 64;R$ 273;165;FRACIONADO
2020;fevereiro;Clinte 64;R$ 228;183;FRACIONADO
2020;março;Clinte 64;R$ 162;43;FRACIONADO
2020;abril;Clinte 64;R$ 101;118;FRACIONADO
2020;maio;Clinte 64;R$ 41;8;FRACIONADO
2020;junho;Clinte 64;R$ 205;55;FRACIONADO
2020;julho;Clinte 64;R$ 167;68;FRACIONADO
2020;agosto;Clinte 64;R$ 164;73;FRACIONADO
2020;setembro;Clinte 64;R$ 416;207;FRACIONADO
2020;outubro;Clinte 64;R$ 250;167;FRACIONADO
2020;novembro;Clinte 64;R$ 322;166;FRACIONADO
2020;dezembro;Clinte 64;R$ 41;10;FRACIONADO
2021;janeiro;Clinte 64;R$ 224;102;FRACIONADO
2021;março;Clinte 65;R$ 261;5;FRACIONADO
2020;janeiro;Clinte 66;R$ 227;45;FRACIONADO
2020;fevereiro;Clinte 66;R$ 418;31;FRACIONADO
2020;março;Clinte 66;R$ 383;1;FRACIONADO
2020;maio;Clinte 66;R$ 1.508;1592;FRACIONADO
2020;junho;Clinte 66;R$ 255;71;FRACIONADO
2020;julho;Clinte 66;R$ 88;1;FRACIONADO
2020;agosto;Clinte 66;R$ 127;11;FRACIONADO
2020;novembro;Clinte 66;R$ 365;60;FRACIONADO
2021;janeiro;Clinte 66;R$ 298;65;FRACIONADO
2021;março;Clinte 66;R$ 212;6;FRACIONADO
2020;fevereiro;Clinte 67;R$ 95;10;FRACIONADO
2020;março;Clinte 67;R$ 172;7;FRACIONADO
2020;maio;Clinte 67;R$ 111;10;FRACIONADO
2020;julho;Clinte 67;R$ 104;2;FRACIONADO
2020;agosto;Clinte 67;R$ 121;5;FRACIONADO
2020;setembro;Clinte 67;R$ 101;3;FRACIONADO
2020;novembro;Clinte 67;R$ 115;5;FRACIONADO
2021;fevereiro;Clinte 67;R$ 91;5;FRACIONADO
2020;janeiro;Clinte 68;R$ 156;54;FRACIONADO
2020;fevereiro;Clinte 68;R$ 76;13;FRACIONADO
2020;junho;Clinte 68;R$ 84;28;FRACIONADO
